url,title,year,sector
https://www.bbc.co.uk/news/articles/c20rrdjvpexo,Food delivery apps to tighten checks to stop illegal workers,2025,"delivery, security"
https://www.bbc.co.uk/news/uk-england-london-11927998,'Illegal workers' held at Frankie Dettori's restaurants,2010,not mentioned
https://www.bbc.co.uk/news/articles/c7v6jvpgyy9o,Restaurants lose licences over illegal workers,2024,restaurant
https://www.bbc.co.uk/news/articles/c80ndzkdgw4o,Pizza boss banned for hiring two illegal workers,2024,not mentioned
https://www.bbc.co.uk/news/uk-scotland-highlands-islands-21275022,Illegal workers arrested in Brora in Sutherland,2013,restaurant
https://www.bbc.co.uk/news/uk-england-tees-56815659,Restaurant owner 'paid' illegal workers with diners' leftovers,2021,restaurant
https://www.bbc.co.uk/news/articles/c4g583jlpl3o,Council battling illegal work near nuclear site,2025,not mentioned
https://www.bbc.co.uk/news/articles/c5ypk7zjg84o,Arrests of illegal workers nearly double in Wales,2025,"construction, delivery"
https://www.bbc.co.uk/news/uk-scotland-glasgow-west-39577879,Work begins to remove illegal dump causing fly infestation,2017,construction
https://www.bbc.co.uk/news/articles/c0mx99ple17o,Criminal network behind UK mini-marts enables migrants to work illegally - BBC investigation,2025,"hotel, shop"
https://www.bbc.co.uk/news/articles/cy78v6dzj41o,Restaurants accused of employing illegal workers,2024,not mentioned
https://www.bbc.co.uk/news/av/uk-northern-ireland-35107966,Pair guilty of employing illegal workers on phone accessory stalls,2015,not mentioned
https://www.bbc.co.uk/news/uk-england-35233030,Nursing agency CareFirst 24 'employed illegal migrant workers',2016,not mentioned
https://www.bbc.co.uk/news/articles/c1lv153ydm6o,Illegal workers held in raids on nail bars and takeaways,2025,security
https://www.bbc.co.uk/news/uk-england-oxfordshire-26484225,'Illegal' Didcot restaurant workers arrested in operation,2014,not mentioned
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-17894534,Illegal workers found at Aberdeen restaurants,2012,"restaurant, shop"
https://www.bbc.co.uk/news/articles/c7854d3p3wjo,Restaurant's licence removed over illegal workers,2024,restaurant
https://www.bbc.co.uk/news/uk-england-devon-13054787,Seven illegal workers found during raids in Torbay,2011,"restaurant, shop"
https://www.bbc.co.uk/news/10490444,Raid uncovers six illegal workers in Loughborough,2010,not mentioned
https://www.bbc.co.uk/news/articles/cwy7xqwqxxxo,"Work checks can cut illegal migration, says Cooper",2025,"construction, delivery, security"
https://www.bbc.co.uk/news/uk-wales-south-west-wales-11846338,28 illegal workers found at Pembrokeshire power plant,2010,construction
https://www.bbc.co.uk/news/articles/c4g2wjx797po,Shop where illegal worker found could lose licence,2025,shop
https://www.bbc.co.uk/news/uk-england-surrey-25153642,Four illegal workers arrested in Surrey raids,2013,shop
https://www.bbc.co.uk/news/uk-northern-ireland-19968950,Belfast New Century Takeaway employed four illegal workers,2012,not mentioned
https://www.bbc.co.uk/news/uk-wales-north-east-wales-39454215,Flintshire beauty salon raid uncovers illegal workers,2017,shop
https://www.bbc.co.uk/news/articles/czryl2118z0o,Eight men arrested in crackdown on illegal workers,2025,restaurant
https://www.bbc.co.uk/news/world-middle-east-25127368,Saudi crackdown on illegal workers sparks heated debate,2013,"cleaning, security, shop"
https://www.bbc.co.uk/news/10515357,The tax-paying illegal workers living in London,2010,cleaning
https://www.bbc.co.uk/news/uk-england-manchester-12164882,Illegal workers arrested at Greater Manchester takeaways,2011,not mentioned
https://www.bbc.co.uk/news/uk-england-oxfordshire-14664193,Illegal workers in Henley-on-Thames arrested in raids,2011,not mentioned
https://www.bbc.co.uk/news/videos/cgr4dr4rp74o,Watch: BBC reporter confronts man at centre of illegal worker network,2025,not mentioned
https://www.bbc.co.uk/news/articles/cy850zn36pqo,Two firms fined thousands over illegal workers,2025,construction
https://www.bbc.co.uk/news/articles/c625p0g23vzo,Alcohol licence bid for bar that had illegal workers,2025,not mentioned
https://www.bbc.co.uk/news/uk-england-berkshire-46468378,Reading takeaway licence suspended over illegal workers,2018,not mentioned
https://www.bbc.co.uk/news/uk-northern-ireland-23464983,Illegal workers arrested for overstaying their visas,2013,restaurant
https://www.bbc.co.uk/news/av/newsbeat-38529525,Newsbeat investigates how illegal drugs are being delivered unknowingly by UK postal workers,2017,not mentioned
https://www.bbc.co.uk/news/av/26443575,Victims trafficked from Vietnam to work on illegal UK cannabis farms,2014,not mentioned
https://www.bbc.co.uk/news/articles/c2468q3y75vo,US accused of using illegal workers at centre processing refugee claims in South Africa,2025,security
https://www.bbc.co.uk/news/uk-wales-63431335,Keeping tips from workers could be illegal under new law,2022,"delivery, hospitality, restaurant, taxi"
https://www.bbc.co.uk/news/articles/cy8j6dz2428o,Bar that had illegal workers withdraws licence bid,2025,restaurant
https://www.bbc.co.uk/news/articles/c8de54drq80o,Teen 'propositioned in takeaway by illegal worker',2025,shop
https://www.bbc.co.uk/news/articles/cy5e635wwd7o,Shop loses licence after employing illegal worker,2025,shop
https://www.bbc.co.uk/news/articles/cr5830j5yljo,Car wash owner fined Â£180k for illegal workers,2025,not mentioned
https://www.bbc.co.uk/news/articles/c0mpzpv3mw7o,Illegal workers caught during e-bike crackdown,2025,delivery
https://www.bbc.co.uk/news/articles/ckgnw28wkz2o,Record haul of illegal e-bike and e-scooter seizures,2025,not mentioned
https://www.bbc.co.uk/news/articles/c51n02rvg5mo,Plumber guilty of illegal gas work and theft,2024,not mentioned
